epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,458.31,1.48188,0.81876,1.08676,0.8612,0.77266,0.82856,0.48512,1.40003,0.73803,1.08018,0.000666018,0.000666018,0.000666018
2,908.351,1.41218,0.70236,1.04001,0.88169,0.81156,0.86141,0.521,1.35328,0.66158,1.04059,0.0013063,0.0013063,0.0013063
3,1357.66,1.38548,0.67767,1.03029,0.88877,0.82223,0.86726,0.52718,1.35295,0.63175,1.04097,0.00192018,0.00192018,0.00192018
4,1808.7,1.36387,0.65699,1.02153,0.89503,0.83181,0.87986,0.54351,1.31164,0.60141,1.02725,0.0018812,0.0018812,0.0018812
5,2260.82,1.35348,0.63955,1.01307,0.90377,0.83852,0.88994,0.54915,1.30707,0.59406,1.02064,0.0018416,0.0018416,0.0018416
6,2712.94,1.33811,0.62728,1.00932,0.89647,0.8375,0.88748,0.54542,1.3102,0.59564,1.02033,0.001802,0.001802,0.001802
7,3163.41,1.33663,0.62039,1.00956,0.89857,0.84045,0.88752,0.54942,1.29963,0.58173,1.02095,0.0017624,0.0017624,0.0017624
8,3615.23,1.32118,0.60717,1.00436,0.90807,0.84634,0.89505,0.55512,1.30301,0.57382,1.02233,0.0017228,0.0017228,0.0017228
9,4066.64,1.3184,0.60317,1.00311,0.90458,0.8494,0.89397,0.55804,1.28595,0.56222,1.01582,0.0016832,0.0016832,0.0016832
10,4518.74,1.31072,0.59566,0.99893,0.90426,0.8474,0.89101,0.55883,1.28388,0.55918,1.01453,0.0016436,0.0016436,0.0016436
11,4971.12,1.30803,0.58951,0.99787,0.90569,0.8529,0.90147,0.56353,1.28136,0.55473,1.01101,0.001604,0.001604,0.001604
12,5423.14,1.3034,0.58599,0.99561,0.90395,0.85414,0.90024,0.56423,1.2756,0.55144,1.00877,0.0015644,0.0015644,0.0015644
13,5875.39,1.30016,0.58022,0.99484,0.90967,0.85531,0.89974,0.56529,1.27293,0.54194,1.00912,0.0015248,0.0015248,0.0015248
14,6327.83,1.29324,0.57386,0.99355,0.9108,0.8577,0.90423,0.56722,1.27615,0.54167,1.00847,0.0014852,0.0014852,0.0014852
15,6778.76,1.2946,0.57583,0.99419,0.9101,0.85606,0.90051,0.56583,1.27342,0.53801,1.01023,0.0014456,0.0014456,0.0014456
16,7229.4,1.2868,0.56646,0.99072,0.91369,0.85937,0.90638,0.57047,1.27358,0.53163,1.0083,0.001406,0.001406,0.001406
17,7680.68,1.28914,0.56898,0.98953,0.90961,0.86458,0.90608,0.57293,1.26711,0.52946,1.00765,0.0013664,0.0013664,0.0013664
18,8131.87,1.28356,0.56321,0.99048,0.91145,0.86351,0.90819,0.57266,1.26645,0.52923,1.005,0.0013268,0.0013268,0.0013268
19,8582.63,1.28221,0.56044,0.9884,0.9125,0.86114,0.90555,0.57198,1.26941,0.52638,1.00751,0.0012872,0.0012872,0.0012872
20,9033.65,1.27839,0.5598,0.98913,0.91245,0.8668,0.90773,0.57436,1.26236,0.52244,1.00302,0.0012476,0.0012476,0.0012476
21,9485.4,1.27616,0.55645,0.98793,0.91368,0.86376,0.90778,0.57404,1.26347,0.52487,1.00401,0.001208,0.001208,0.001208
22,9935.66,1.27593,0.55435,0.98521,0.91396,0.86504,0.90693,0.57417,1.26242,0.521,1.0037,0.0011684,0.0011684,0.0011684
23,10381.9,1.27281,0.55256,0.98426,0.91167,0.86705,0.90792,0.57483,1.26432,0.51793,1.00488,0.0011288,0.0011288,0.0011288
24,10830.2,1.2693,0.5491,0.98085,0.91607,0.86773,0.90898,0.57566,1.26189,0.51621,1.00303,0.0010892,0.0010892,0.0010892
25,11276.6,1.26559,0.54511,0.98184,0.91603,0.86611,0.90796,0.57605,1.25991,0.51475,1.00274,0.0010496,0.0010496,0.0010496
26,11723.7,1.26565,0.54336,0.9817,0.9122,0.86971,0.9075,0.57525,1.25805,0.51376,1.00161,0.00101,0.00101,0.00101
27,12170.8,1.26319,0.54106,0.97979,0.91544,0.86693,0.90978,0.57784,1.25864,0.50961,1.00258,0.0009704,0.0009704,0.0009704
28,12618.1,1.26048,0.53886,0.97904,0.91713,0.86739,0.90963,0.57918,1.25769,0.50898,1.00176,0.0009308,0.0009308,0.0009308
29,13063.7,1.25889,0.53621,0.98032,0.91322,0.87215,0.90744,0.57848,1.25702,0.50753,1.00146,0.0008912,0.0008912,0.0008912
30,13510.4,1.25627,0.53622,0.97739,0.91686,0.87013,0.90774,0.57843,1.25724,0.50861,1.00037,0.0008516,0.0008516,0.0008516
31,13957.3,1.25823,0.53525,0.97775,0.91694,0.86736,0.90978,0.57952,1.25514,0.50698,1.0011,0.000812,0.000812,0.000812
32,14404,1.25177,0.53022,0.9765,0.91537,0.87344,0.91362,0.58081,1.25464,0.5048,0.99943,0.0007724,0.0007724,0.0007724
